Arquivo,Caminho,Tipo,O que é,Dimensões,Tamanho,Tamanho em bytes,Formato de origem,Dimensões de origem,Tamanho de origem,Economia (%),Referenciado em
Mapa de Nadírion (Floresta de Mirval).webp,assets/maps/ruinas-dos-ceus/Mapa de Nadírion (Floresta de Mirval).webp,Mapa,Mapa: Mapa de Nadírion (Floresta de Mirval) — Ruínas dos Céus,1491 × 1055 px,660.3 KB,676178,PNG,1491 × 1055 px,3.1 MB,79.0,app/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/pages/places.js
mapa-combinado.webp,assets/maps/ruinas-dos-ceus/mapa-combinado.webp,Mapa,Mapa: Mapa combinado — Ruínas dos Céus,1491 × 1055 px,583.9 KB,597962,WEBP,1491 × 1055 px,521.9 KB,-11.9,
mapa-geral.webp,assets/maps/guerras-de-sangue/mapa-geral.webp,Mapa,Mapa: Mapa geral — Guerras de Sangue,1536 × 1024 px,747.1 KB,765066,WEBP,1536 × 1024 px,633.2 KB,-18.0,
mapa-guerras-de-sangue.webp,assets/mapa-guerras-de-sangue.webp,Mapa,Mapa: Mapa guerras de sangue,1536 × 1024 px,747.1 KB,765066,WEBP,1536 × 1024 px,633.2 KB,-18.0,
alyra.webp,assets/characters/guerras-de-sangue/alyra.webp,Retrato de personagem,Retrato do personagem: Alyra — Guerras de Sangue,1122 × 1402 px,180.4 KB,184744,WEBP,1122 × 1402 px,168.0 KB,-7.4,
avara-fendelar.webp,assets/characters/guerras-de-sangue/avara-fendelar.webp,Retrato de personagem,Retrato do personagem: Avara fendelar — Guerras de Sangue,1024 × 1536 px,195.0 KB,199638,WEBP,1024 × 1536 px,181.9 KB,-7.2,
brokan-das-forjas.webp,assets/characters/guerras-de-sangue/brokan-das-forjas.webp,Retrato de personagem,Retrato do personagem: Brokan das forjas — Guerras de Sangue,1122 × 1402 px,226.9 KB,232316,WEBP,1122 × 1402 px,212.5 KB,-6.7,
cal-edran.webp,assets/characters/guerras-de-sangue/cal-edran.webp,Retrato de personagem,Retrato do personagem: Cal edran — Guerras de Sangue,1086 × 1448 px,204.0 KB,208848,WEBP,1086 × 1448 px,189.9 KB,-7.4,
cal-kadrir.webp,assets/characters/guerras-de-sangue/cal-kadrir.webp,Retrato de personagem,Retrato do personagem: Cal kadrir — Guerras de Sangue,1086 × 1448 px,183.8 KB,188206,WEBP,1086 × 1448 px,173.7 KB,-5.8,
daryon-polar.webp,assets/characters/guerras-de-sangue/daryon-polar.webp,Retrato de personagem,Retrato do personagem: Daryon polar — Guerras de Sangue,1122 × 1402 px,152.4 KB,156072,WEBP,1122 × 1402 px,145.8 KB,-4.6,
efepar.webp,assets/characters/ruinas/efepar.webp,Retrato de personagem,Retrato do personagem: Efepar — Dimensões Infinitas,1122 × 1402 px,203.0 KB,207908,WEBP,1122 × 1402 px,186.1 KB,-9.1,
gabasteres.webp,assets/characters/ruinas/gabasteres.webp,Retrato de personagem,Retrato do personagem: Gabasteres — Dimensões Infinitas,1122 × 1402 px,127.3 KB,130384,WEBP,1122 × 1402 px,117.9 KB,-8.0,
hadrun.webp,assets/characters/guerras-de-sangue/hadrun.webp,Retrato de personagem,Retrato do personagem: Hadrun — Guerras de Sangue,1122 × 1402 px,189.4 KB,193964,WEBP,1122 × 1402 px,174.8 KB,-8.4,
harrev.webp,assets/characters/guerras-de-sangue/harrev.webp,Retrato de personagem,Retrato do personagem: Harrev — Guerras de Sangue,1122 × 1402 px,243.3 KB,249176,WEBP,1122 × 1402 px,224.6 KB,-8.3,
iressa-maos-de-sal.webp,assets/characters/guerras-de-sangue/iressa-maos-de-sal.webp,Retrato de personagem,Retrato do personagem: Iressa maos de sal — Guerras de Sangue,1086 × 1448 px,257.6 KB,263754,WEBP,1086 × 1448 px,233.6 KB,-10.3,
jokara.webp,assets/characters/ruinas/jokara.webp,Retrato de personagem,Retrato do personagem: Jokara — Dimensões Infinitas,1122 × 1402 px,181.5 KB,185844,WEBP,1122 × 1402 px,169.5 KB,-7.1,
kaelina.webp,assets/characters/guerras-de-sangue/kaelina.webp,Retrato de personagem,Retrato do personagem: Kaelina — Guerras de Sangue,1122 × 1402 px,212.9 KB,218036,WEBP,1122 × 1402 px,196.0 KB,-8.6,
kahul.webp,assets/characters/guerras-de-sangue/kahul.webp,Retrato de personagem,Retrato do personagem: Kahul — Guerras de Sangue,1122 × 1402 px,165.0 KB,168964,WEBP,1122 × 1402 px,152.9 KB,-7.9,
kharvok.webp,assets/characters/guerras-de-sangue/kharvok.webp,Retrato de personagem,Retrato do personagem: Kharvok — Guerras de Sangue,1086 × 1448 px,198.7 KB,203458,WEBP,1086 × 1448 px,185.9 KB,-6.9,
liri.webp,assets/characters/ruinas/liri.webp,Retrato de personagem,Retrato do personagem: Liri — Dimensões Infinitas,1122 × 1402 px,175.6 KB,179826,WEBP,1122 × 1402 px,162.8 KB,-7.9,
lorde-ossar-glydar.webp,assets/characters/guerras-de-sangue/lorde-ossar-glydar.webp,Retrato de personagem,Retrato do personagem: Lorde ossar glydar — Guerras de Sangue,1086 × 1448 px,184.8 KB,189278,WEBP,1086 × 1448 px,170.9 KB,-8.2,
loutes.webp,assets/characters/ruinas/loutes.webp,Retrato de personagem,Retrato do personagem: Loutes — Dimensões Infinitas,1122 × 1402 px,185.2 KB,189598,WEBP,1122 × 1402 px,172.4 KB,-7.4,
lurok.webp,assets/characters/guerras-de-sangue/lurok.webp,Retrato de personagem,Retrato do personagem: Lurok — Guerras de Sangue,1122 × 1402 px,119.7 KB,122546,WEBP,1122 × 1402 px,113.4 KB,-5.5,
lutharus.webp,assets/characters/guerras-de-sangue/lutharus.webp,Retrato de personagem,Retrato do personagem: Lutharus — Guerras de Sangue,1122 × 1402 px,145.0 KB,148522,WEBP,1122 × 1402 px,137.5 KB,-5.5,
maelis-das-contagens.webp,assets/characters/guerras-de-sangue/maelis-das-contagens.webp,Retrato de personagem,Retrato do personagem: Maelis das contagens — Guerras de Sangue,1122 × 1402 px,236.0 KB,241694,WEBP,1122 × 1402 px,214.6 KB,-10.0,
malthar.webp,assets/characters/ruinas/malthar.webp,Retrato de personagem,Retrato do personagem: Malthar — Dimensões Infinitas,1122 × 1402 px,322.5 KB,330194,WEBP,1122 × 1402 px,298.5 KB,-8.0,
markoso.webp,assets/characters/guerras-de-sangue/markoso.webp,Retrato de personagem,Retrato do personagem: Markoso — Guerras de Sangue,1086 × 1448 px,215.2 KB,220328,WEBP,1086 × 1448 px,200.4 KB,-7.4,
marv.webp,assets/characters/ruinas/marv.webp,Retrato de personagem,Retrato do personagem: Marv — Dimensões Infinitas,1122 × 1402 px,232.7 KB,238282,WEBP,1122 × 1402 px,214.2 KB,-8.7,
mirel-amarea.webp,assets/characters/ruinas/mirel-amarea.webp,Retrato de personagem,Retrato do personagem: Mirel amarea — Dimensões Infinitas,1122 × 1402 px,249.5 KB,255448,WEBP,1122 × 1402 px,229.5 KB,-8.7,
nalia-do-rio.webp,assets/characters/guerras-de-sangue/nalia-do-rio.webp,Retrato de personagem,Retrato do personagem: Nalia do rio — Guerras de Sangue,1122 × 1402 px,177.2 KB,181472,WEBP,1122 × 1402 px,167.8 KB,-5.6,
nara-e-ilo.webp,assets/characters/guerras-de-sangue/nara-e-ilo.webp,Retrato de personagem,Retrato do personagem: Nara e ilo — Guerras de Sangue,1122 × 1402 px,236.2 KB,241818,WEBP,1122 × 1402 px,217.7 KB,-8.5,
nestira.webp,assets/characters/ruinas/nestira.webp,Retrato de personagem,Retrato do personagem: Nestira — Dimensões Infinitas,1122 × 1402 px,211.7 KB,216786,WEBP,1122 × 1402 px,190.4 KB,-11.2,
nynestra.webp,assets/characters/guerras-de-sangue/nynestra.webp,Retrato de personagem,Retrato do personagem: Nynestra — Guerras de Sangue,1086 × 1448 px,291.4 KB,298442,WEBP,1086 × 1448 px,271.0 KB,-7.6,
odran-porta-baixa.webp,assets/characters/guerras-de-sangue/odran-porta-baixa.webp,Retrato de personagem,Retrato do personagem: Odran porta baixa — Guerras de Sangue,1122 × 1402 px,291.7 KB,298690,WEBP,1122 × 1402 px,268.9 KB,-8.5,
odris.webp,assets/characters/guerras-de-sangue/odris.webp,Retrato de personagem,Retrato do personagem: Odris — Guerras de Sangue,1122 × 1402 px,237.2 KB,242886,WEBP,1122 × 1402 px,217.9 KB,-8.9,
orionus-polar-2.webp,assets/characters/guerras-de-sangue/orionus-polar-2.webp,Retrato de personagem,Retrato do personagem: Orionus polar 2 — Guerras de Sangue,1024 × 1536 px,314.5 KB,322096,WEBP,1024 × 1536 px,290.6 KB,-8.2,
orionus-polar.webp,assets/characters/guerras-de-sangue/orionus-polar.webp,Retrato de personagem,Retrato do personagem: Orionus polar — Guerras de Sangue,1122 × 1402 px,186.7 KB,191190,WEBP,1122 × 1402 px,178.3 KB,-4.7,
orven.webp,assets/characters/guerras-de-sangue/orven.webp,Retrato de personagem,Retrato do personagem: Orven — Guerras de Sangue,1122 × 1402 px,250.4 KB,256446,WEBP,1122 × 1402 px,229.7 KB,-9.0,
platisa.webp,assets/characters/ruinas/platisa.webp,Retrato de personagem,Retrato do personagem: Platisa — Dimensões Infinitas,1122 × 1402 px,245.6 KB,251452,WEBP,1122 × 1402 px,225.0 KB,-9.1,
professor-talver.webp,assets/characters/ruinas/professor-talver.webp,Retrato de personagem,Retrato do personagem: Professor talver — Dimensões Infinitas,1122 × 1402 px,267.1 KB,273504,WEBP,1122 × 1402 px,246.7 KB,-8.3,
rendar.webp,assets/characters/guerras-de-sangue/rendar.webp,Retrato de personagem,Retrato do personagem: Rendar — Guerras de Sangue,1122 × 1402 px,220.1 KB,225332,WEBP,1122 × 1402 px,198.3 KB,-10.9,
saela.webp,assets/characters/guerras-de-sangue/saela.webp,Retrato de personagem,Retrato do personagem: Saela — Guerras de Sangue,1122 × 1402 px,193.5 KB,198100,WEBP,1122 × 1402 px,178.8 KB,-8.2,
sarkan.webp,assets/characters/guerras-de-sangue/sarkan.webp,Retrato de personagem,Retrato do personagem: Sarkan — Guerras de Sangue,1122 × 1402 px,197.1 KB,201782,WEBP,1122 × 1402 px,185.3 KB,-6.3,
savel.webp,assets/characters/guerras-de-sangue/savel.webp,Retrato de personagem,Retrato do personagem: Savel — Guerras de Sangue,1122 × 1402 px,179.6 KB,183926,WEBP,1122 × 1402 px,165.7 KB,-8.4,
seron-das-obras.webp,assets/characters/guerras-de-sangue/seron-das-obras.webp,Retrato de personagem,Retrato do personagem: Seron das obras — Guerras de Sangue,1122 × 1402 px,254.0 KB,260100,WEBP,1122 × 1402 px,235.3 KB,-7.9,
sersi.webp,assets/characters/ruinas/sersi.webp,Retrato de personagem,Retrato do personagem: Sersi — Dimensões Infinitas,1122 × 1402 px,250.7 KB,256692,WEBP,1122 × 1402 px,231.2 KB,-8.4,
seyra-vendrar.webp,assets/characters/guerras-de-sangue/seyra-vendrar.webp,Retrato de personagem,Retrato do personagem: Seyra vendrar — Guerras de Sangue,1122 × 1402 px,319.4 KB,327112,WEBP,1122 × 1402 px,297.6 KB,-7.4,
soren.webp,assets/characters/guerras-de-sangue/soren.webp,Retrato de personagem,Retrato do personagem: Soren — Guerras de Sangue,1122 × 1402 px,120.8 KB,123698,WEBP,1122 × 1402 px,113.8 KB,-6.2,
tavra-vendrar.webp,assets/characters/guerras-de-sangue/tavra-vendrar.webp,Retrato de personagem,Retrato do personagem: Tavra vendrar — Guerras de Sangue,1086 × 1448 px,290.4 KB,297362,WEBP,1086 × 1448 px,273.3 KB,-6.2,
thoren-dos-graos.webp,assets/characters/guerras-de-sangue/thoren-dos-graos.webp,Retrato de personagem,Retrato do personagem: Thoren dos graos — Guerras de Sangue,1122 × 1402 px,247.9 KB,253858,WEBP,1122 × 1402 px,231.2 KB,-7.2,
torgun.webp,assets/characters/guerras-de-sangue/torgun.webp,Retrato de personagem,Retrato do personagem: Torgun — Guerras de Sangue,1122 × 1402 px,370.2 KB,379116,WEBP,1122 × 1402 px,343.8 KB,-7.7,
varael-glydar.webp,assets/characters/guerras-de-sangue/varael-glydar.webp,Retrato de personagem,Retrato do personagem: Varael glydar — Guerras de Sangue,1122 × 1402 px,217.7 KB,222956,WEBP,1122 × 1402 px,199.5 KB,-9.1,
varron-meio-olho.webp,assets/characters/guerras-de-sangue/varron-meio-olho.webp,Retrato de personagem,Retrato do personagem: Varron meio olho — Guerras de Sangue,1122 × 1402 px,198.3 KB,203016,WEBP,1122 × 1402 px,186.2 KB,-6.5,
veyr-polar.webp,assets/characters/guerras-de-sangue/veyr-polar.webp,Retrato de personagem,Retrato do personagem: Veyr polar — Guerras de Sangue,1122 × 1402 px,256.5 KB,262680,WEBP,1122 × 1402 px,237.9 KB,-7.8,
vita-fendelar.webp,assets/characters/guerras-de-sangue/vita-fendelar.webp,Retrato de personagem,Retrato do personagem: Vita fendelar — Guerras de Sangue,1024 × 1536 px,124.0 KB,126988,WEBP,1024 × 1536 px,116.9 KB,-6.1,
vorlan-vendrar.webp,assets/characters/guerras-de-sangue/vorlan-vendrar.webp,Retrato de personagem,Retrato do personagem: Vorlan vendrar — Guerras de Sangue,1122 × 1402 px,215.2 KB,220364,WEBP,1122 × 1402 px,201.0 KB,-7.0,
ylvena.webp,assets/characters/guerras-de-sangue/ylvena.webp,Retrato de personagem,Retrato do personagem: Ylvena — Guerras de Sangue,1122 × 1402 px,162.1 KB,165960,WEBP,1122 × 1402 px,152.1 KB,-6.6,
yndra.webp,assets/characters/ruinas/yndra.webp,Retrato de personagem,Retrato do personagem: Yndra — Dimensões Infinitas,1122 × 1402 px,248.9 KB,254910,WEBP,1122 × 1402 px,228.0 KB,-9.2,
yoral.webp,assets/characters/ruinas/yoral.webp,Retrato de personagem,Retrato do personagem: Yoral — Dimensões Infinitas,1122 × 1402 px,246.7 KB,252646,WEBP,1122 × 1402 px,229.0 KB,-7.8,
yrsea.webp,assets/characters/ruinas/yrsea.webp,Retrato de personagem,Retrato do personagem: Yrsea — Dimensões Infinitas,1122 × 1402 px,265.3 KB,271668,WEBP,1122 × 1402 px,244.3 KB,-8.6,
yvenn-raiz-branca.webp,assets/characters/guerras-de-sangue/yvenn-raiz-branca.webp,Retrato de personagem,Retrato do personagem: Yvenn raiz branca — Guerras de Sangue,1086 × 1448 px,239.6 KB,245366,WEBP,1086 × 1448 px,220.0 KB,-8.9,
